Question,Answer
WHAT IS BASEBALL,"A game played with a hard, rawhide covered ball and wooden bat by two opposing teams of nine or ten players each. It is played on a field with four bases forming a diamond-shaped circuit."
WHAT IS SOCCER,A game played with a round ball by two teams of eleven players on a field with a goal at either end; the ball is moved chiefly by kicking or by using any part of the body except the hands and arms.
I LOVE BASEBALL,I am not into sports that much.
I PLAY SOCCER,You have to run very fast to be any good at soccer.
I PLAY Cricket,Which position do you like to play?
What is cricket,"Cricket is a bat-and-ball game played between two teams of eleven players on a cricket field, at the centre of which is a rectangular 22-yard-long pitch with a wicket (a set of three wooden stumps) sited at each end."
I PLAY VOLLEYBALL,Does take up a lot of your time?
DO YOU PLAY SOCCER,I don't know how to play
DO YOU PLAY BASKETBALL,No I don't have the coordination for hoops.
DO YOU KNOW BASKETBALL,WHAT IS BASKETBALL?
DO YOU WANT TO PLAY BASKETBALL,I am all net baby.
LIKE BASKETBALL,I am into the Net.
ARE YOU A FOOTBALL,I am not really into football.
WHO IS THE GREATEST BASEBALL PLAYER,George Herman Ruth. Quite the Babe.
WHO IS THE BEST SOCCER PLAYER,Maradona is great. Sinsemillia is even better.
TELL ME ABOUT BASEBALL,What is Baseball
Which is your favorite soccer club?,"I am a Real Madrid fan, and you?"
I am a die hard fan of Barcelona.,Madrid has a great team especially the attack is quite awesome.
Barca still at par than Madrid.,I don't agree.
My system is overheating.,Ensure air vents aren't blocked and clean any dust.
My computer won't turn on.,Check if it's plugged in and hold the power button for 10 seconds.
My mouse is not responding.,Try plugging it into another USB port or changing the batteries.
My laptop screen is black.,Try adjusting brightness or connecting an external monitor.
I can't hear any sound.,Check the volume and ensure your output device is selected.
My internet is not working.,Restart your router and check if the cables are connected properly.
My webcam isn't detected.,Make sure it’s connected and check the drivers.
I forgot my password.,Use the password reset option or contact your admin.
My printer is not printing.,"Ensure it's powered on and has paper, then restart it."
My screen is flickering.,Update the graphics driver or check the monitor cable.
Who was the 37th President of the United States?,Richard Nixon
What year was President John F. Kennedy assassinated?,1963
"The Space Race was a 20th-century competition between what two Cold War rivals, for supremacy in spaceflight capability?",The Soviet Union and the United States.
What was the name of the first artificial Earth satellite?,Sputnik 1
"A spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting, is called what?",A gyroscope.
"The Hubble Space Telescope, launched into low Earth orbit in 1990, is named after what American astronomer?",Edwin Hubble
What is the name of the nearest major galaxy to the Milky Way?,The Andromeda Galaxy.
God Save the Queen is the national anthem of what country?,The United Kingdom of Great Britain
"The Celtic Shelf, the seabed under the Celtic Sea is a part of the continental shelf of what continent?",Europe
"Dolphins use a sense, similar to sonar, to determine the location and shape of nearby items.",Echolocation
What is the rarest M&M color?,Brown
"In a website browser address bar, what does ""www"" stand for?",World Wide Web
In what year were the first Air Jordan sneakers released?,1984
According to Greek mythology who was the first woman on earth?,Pandora
"Samuel Tilden, Grover Cleveland, Al Gore and Hillary Clinton share what distinction among U.S. presidential candidates?","They won the popular vote, but lost the electoral-college vote"
Which African country was formerly known as Abyssinia?,Ethiopia
Tennis star Serena Williams won which major tournament while pregnant with her first child?,The Australian Open
In which European city would you find Orly airport?,Paris
Which singer’s real name is Stefani Joanne Angelina Germanotta?,Lady Gaga
The only known monotremes in the animal kingdom are the echidna and which other creature?,The platypus
"Kingston, Zuma, and Apollo are the sons of which American female pop star?",Gwen Stefani
"Fissures, vents and plugs are all associated with which geological feature?",Volcanos
Which author wrote the 'Winnie-the-Pooh' books?,A. A. Milne
"Which Dutch artist painted ""Girl with a Pearl Earring""?",Vermeer
"Where were the Declaration of Independence, the Constitution, and the Bill of Rights stored during World War II?",Fort Knox
Which country consumes the most chocolate per capita?,Switzerland
Which two U.S. states don’t observe Daylight Saving Time?,Arizona and Hawaii
What is the loudest animal on Earth?,The sperm whale
What was the first toy to be advertised on television?,Mr. Potato Head
What is the tiny piece at the end of a shoelace called?,An aglet
"In the United Kingdom, what is the day after Christmas known as?",Boxing Day
Which of Shakespeare’s plays is the longest?,Hamlet
Outside which New York building was John Lennon killed?,The Dakota Building
How many of Snow White’s seven dwarfs have names ending in the letter Y?,"Five: Dopey, Grumpy, Sneezy, Sleepy, Happy"
I Know Why the Caged Bird Sings’ is the autobiography about the early years of what inspirational African-American writer and poet?,Maya Angelou
What is the tallest breed of dog in the world?,The Great Dane
What is the softest mineral in the world?,Talc
Lateral Epicondylitis is a condition commonly known by what name?,Tennis Elbow
Who was the first female Prime Minister of Great Britain?,Margaret Thatcher
How many ribs are in a human body?,Twenty-four
What is the world’s biggest island?,Greenland
Which country is known as the Land of White Elephant?,Thailand
What is the smallest ocean in the world?,The Arctic
What color eyes do most humans have?,Brown
In which city was Anne Frank’s hiding place?,Amsterdam
What is the largest type of deer?,The moose
Which Disney film features the song ‘When You Wish Upon a Star’?,Pinocchio
What is the lowest army rank of a US soldier?,Private
"Before the Beatles were formed, John Lennon, Paul McCartney and George Harrison were originally members of which group?",The Quarrymen
What is the name of the Earth’s largest ocean?,The Pacific Ocean
"When Michael Jordan played for the Chicago Bulls, how many NBA Championships did he win?",Six
What country won the very first FIFA World Cup in 1930?,Uruguay
In what year was the first ever Wimbledon Championship held?,1877
What is often seen as the smallest unit of memory?,kilobyte
Which planet is the hottest in the solar system?,Venus
Which country produces the most coffee in the world?,Brazil
What is the common name for dried plums?,Prunes
What does BMW stand for (in English)?,Bavarian Motor Works
Which two countries share the longest international border?,Canada and the USA
What is the smallest country in the world?,Vatican City
Which bone are babies born without?,Knee cap
Which name is rapper Sean Combs better known by?,P. Diddy
Which British girl group had a member by the name of Mel B?,Spice Girls
How many hearts does an octopus have?,Three
How many eyes does a bee have?,Five
What was the name of the rock band formed by Jimmy Page?,Led Zeppelin
Who was the first woman to win a Nobel Prize (1903)?,Marie Curie
Which mammal has no vocal cords?,Giraffe
What type of music has been shown to help plants grow better and faster?,Classical
Power outages in the US are mostly caused by what?,Squirrels
What celebrity has their dog cloned– twice?,Barbara Streisand
What was the first state?,Delaware
What is the painting ‘La Gioconda’ more usually known as?,Mona Lisa
Ludwig Van Beethoven was born in 1770 in which city?,Bonn
What did the Crocodile swallow in Peter Pan?,An alarm clock
What’s the hardest rock?,A diamond
What is the national dish of Spain?,Paella
Which horoscope sign has a crab?,Cancer
What color is Absinthe?,Green
The Statue of Liberty was given to the US by which country?,France
Which US city is known as the City of Brotherly Love?,Philadelphia
What substance are nails made out of?,Keratin
How many children does Oprah Winfrey have?,Zero
Where is the Sea of Tranquility located?,The moon
What country has the world’s most ancient forest?,Australia
Which kind of bulbs were once exchanged as a form of currency?,Tulips
What color jersey is worn by the winners of each stage of the Tour De France?,Yellow
Which chess piece can only move diagonally?,A bishop
When did the Cold War end?,1989
What is allspice alternatively known as?,Pimento
Who invented scissors?,Leonardo da Vinci
Which country was the Caesar salad invented in?,Mexico
"On which ship did Charles Darwin make his famous expedition, which led to his theory of evolution?",HMS Beagle
In which film did father and son actors Will and Jaden Smith first appear together?,The Pursuit of Happiness
Which NFL team holds the record for the most Super Bowl appearances?,New England Patriots
In which city is Jim Morrison buried?,Paris
Which actress keeps her Oscar in her bathroom so guests can hold it and make speeches in the mirror shame-free?,Kate Winslet
"In medieval England, what was used as currency, specifically for rental agreements?",Eels
What famous horse won the Triple Crown in 1973?,Secretariat
Chimpanzees and gorillas have human-like fingerprints and so do what other non-human animal?,Koalas
A tick bite can make you allergic to what food?,Red meat
What animal is constitutionally protected in Florida?,Pigs
What planets literally rain diamonds?,Saturn and Jupiter
Saudi Arabia imports camels from what country?,Australia
Who is is the youngest person ever to appear on a Billboard chart?,Blue Ivy Carter
What is the only state that borders just one other state?,Maine
What is the Twitter bird’s official?,Larry
What is a community of ants called?,A colony
Who was said to “float like a butterfly and sting like a bee”?,Muhammed Ali
Where did Heineken beer originate?,The Netherlands
“Cirque du Soleil”started in what country?,Canada
How many signs are there in the Zodiac?,12
What are the two fruit juices in a cosmopolitan?,Cranberry and lime
What object is said to bring bad luck if it is broken?,A mirror
Which country did bagels originate from?,Poland
What is the name for the group of men who elect a Pope?,College of Cardinals
An Apgar score is given to what?,Health of newborns
"The Candlestick, Lead Pipe, Knife, Revolver, Rope, and what else are the six weapons in a standard game of Clue?",Wrench
What city did Starbucks open its first store in 1971?,Seattle
"What do you call filo pastry stuffed with chopped nuts and honey, or syrup?",Baklava
What is the Jewish New Year called?,Rosh Hashanah
What book starts with the line “Call me Ishmael.”?,Moby Dick
What is the first element on the Periodic Table?,Hydrogen
What object did Ben Franklin attach to the end of a kite string to prove that lightning is electricity?,A metal key
What does a Scoville unit measure?,Spiciness
What US president put a Twinkie in the country’s millennium time capsule?,Bill Clinton
What is an ice hockey puck made from?,Rubber
Apple’s CEO Steve Jobs was known for wearing what color turtleneck?,Black
How many red stripes are there on the American flag?,Seven
What 3 word phrase is written on Martin Luther King’s gravestone?,Free At Last
What is Japanese sake made from?,Rice
What American beer has been long promoted as the “King of Beers”?,Budweiser
Which fashion designer was shot dead in the summer of 1997?,Gianni Versace
As what type of beans are chickpeas also known as?,Garbanzo
Galileo was the citizen of which country?,Italy
Which country is the largest producer of vanilla?,Madagascar
Who performs the character of Mark Zuckerberg in the movie “The Social Network”?,Jesse Eisenberg
What is the only fruit that has its seeds on the outside?,Strawberry
What is the only metal that is a liquid at normal atmospheric pressure and temperature?,Mercury
Who was the only US President to resign?,Richard Nixon
In which city did Hitler commit suicide?,Berlin
"In ancient Greece, throwing an apple at someone was a declaration of what?",Love
Who wrote songs for The Lion King?,Elton John
What U.S. newspaper is nicknamed “the Gray Lady”?,The New York Times
What is the real first name of Marilyn Monroe?,Norma Jeane
What country has the most vending machines per capita?,Japan
What’s the most populous city in the United States?,New York City
Which fruit floats because 25% of its volume is air?,Apple
What’s the brightest star in the sky?,Sirius
The Eiffel Tower was originally intended for what city?,Barcelona
In which of Britney’s video does she appear as a stewardess?,Toxic
Carrots are a good source of which vitamin?,Vitamin A
What is the name of the prehistoric town in which The Flinstones live?,Bedrock
What is the driest continent?,Antartica
Which US state has the longest cave system in the world?,Kentucky
What blood type qualifies as a universal donor?,O negative
What is the most abundant metal in the Earth’s crust?,Aluminium
What is the most abundant element in the universe?,Hydrogen
What was Babe Ruth’s first name?,George
Who was Sports Illustrated’s first female sportsperson of the year?,Billie Jean King
Robin Williams won a best supporting actor Oscar for what film?,Good Will Hunting
What was the first Disney animated film based on the life of a real person?,Pocahontas
What character did Michael J. Fox play in ‘Back to the Future’?,Marty McFly
What was the predecessor to the United Nations?,League of Nations
A flamboyance is a group of what animals?,Flamingos
What color is a polar bear’s skin?,Black
What is the largest lizard?,Komodo dragon
The male of what species testicles explode on mating and then dies?,Honeybee
Europe is separated from Africa by which sea?,Mediterranean Sea
Canberra is the capital city of which country?,Australia
Which nuts are used to make marzipan?,Almonds
Botany is the scientific study of what?,Plants
Tanks were used in battle for the first time in which conflict?,World War 1
Squab is a name given to the young of which bird?,Pigeon
Which female singer discovered a ‘Genie in a Bottle’ in 1999?,Christina Aguilera
Complete the title of a 1979 number one by Blondie – ‘Heart of…’,Glass
Which Italian fascist leader was known as ‘Il Duce’?,Mussolini
"If a male donkey is a jack, what is the female called?",Jenny
In what country did carving jack o’ lanterns originate?,Ireland
In what American state is it illegal to dress up like a priest or a nun?,Alabama
What is the largest planet in our solar system?,Jupiter
What has a gravitational pull so strong that even light cannot escape it?,Black Hole
Which 1998 Disney film was Lindsay Lohan’s film debut?,Parent Trap
What type of business did Annie have that failed in “Bridesmaids”?,Bakery
What were the two sides in World War II known as?,Allies and Axis
What vitamin does the sun’s ultraviolet rays help the skin produce?,Vitamin D
"What is “jaggery,” used in Indian cooking?",Sugar
What TV show won the most Emmys in 2018?,The Marvelous Mrs. Maisel
Nepal is located on which continent?,Asia
What does a seismologist study?,Earthquakes
Where did Barack Obama teach constitutional law?,University of Chicago
Which sea is located in Israel and Jordan?,Dead Sea
What are the bones in the fingers called?,Phalanges
What company makes the Butterfinger bar?,Nestle
Which character becomes Brienne’s squire in season 4 of “Game of Thrones”?,Podrick Payne
What particle in an atom has a positive charge?,Proton
What is the biggest artery in the human body?,Aorta
What is the name of Jordan’s capital city?,Amman
What is Harry Potter’s Patronus?,A stag
"What candy was used to lure E.T. in the 1982 movie ""E.T.: The Extra-Terrestrial""?",Reese’s Pieces
The tuba is the largest member of which musical family?,Brass
Which is the main substance used to make a crayon?,Wax
The video game “Happy Feet” features what animals?,Penguins
What actress won her first Oscar for “Kramer vs. Kramer”?,Meryl Streep
What object of Dwight’s did Jim put in Jell-O on the TV show “The Office”?,Stapler
Who voices Morty in the series “Rick and Morty”?,Justin Rolland
“You’re gonna need a bigger boat” originated in what movie?,Jaws
What does the “R” stand for on the rating of a movie?,Restricted
Who played Cher Horowitz in the movie “Clueless”?,Alicia Silverstone
"Which artist painted, “Guernica”?",Pablo Picasso
What country produced the most strawberries in 2016?,China
The traditional Wimbledon colors are green and what?,Purple
"On the television show “How I Met Your Mother”, what is Lily’s occupation?",Kindergarten Teacher
Which art movement is Salvador Dali associated with?,Surrealism
Where did rap superstar Eminem grow up?,Detroit
In what city did Princess Diana suffer her fatal car crash?,Paris
What grows from an acorn?,Oak Tree
What prison film starring Tim Robbins was based on a story by Stephen King?,The Shawshank Redemption
Which U.S. state has “Garden State” as its nickname?,New Jersey
Which type of fruit juice did Dole sell first?,Pineapple
What is the main ingredient in falafel?,Chickpea
What currency is used in South Africa?,Rand
Port-au-Prince is the capital of which country?,Haiti
What major movie actor’s first role was in “A Nightmare On Elm Street”?,Johnny Depp
What was Toyota’s first popular hybrid car called?,Prius
What did the first vending machine dispense?,Holy Water
Who created the animated series “Futurama”?,Matt Groening
What is the most populous city in Canada?,Toronto
Taylor Swift grew up on what type of farm?,Christmas Tree Farm
Which Doors song is about Jim Morrison’s relationship with Pamela Courson?,Queen Of The Highway
Which President of South Africa ordered Nelson Mandela’s release from prison?,De Klerk
Which 2008 comedy had the tagline “Put this in your pipe and smoke it”?,Pineapple Express
Islamabad is the capital of which country?,Pakistan
"American pioneer, John Chapman, was famous for planting which kind of tree?",Apple Trees
Where is the uvula located?,In The Throat
What gas makes soda bubbly?,Carbon Dioxide
Which country has a red flag with a star in the middle?,Morocco
Who preceded Fidel Castro as political leader of Cuba?,Fulgencio Batista
What color dresses do Chinese women traditionally wear on their wedding day?,Red
Tom Cruise considered pursuing a career in what sport before being injured?,Wrestling
"What country is bordered by Germany, the Czech Republic, Slovakia and the Ukraine?",Poland
The Da Vinci Code opens with a murder in which famous museum?,Louvre
Which insect can indicate the air temperature?,Cricket
What candy ran the promotion for baseball’s one millionth run?,Tootsie Rolls
What country is the band “The Cranberries” from?,Ireland
Blueberries are native to which continent?,North America
A book by Barack Obama is titled “The Audacity of” what?,Hope
What type of lens has a thin middle and makes objects appear smaller?,Concave
What is the Hawaiian name for yellow fin tuna?,Ahi
Rihanna banned fans from bringing what items to her U.K. concerts in 2008?,Umbrellas
Who created the alien rock superstar Ziggy Stardust?,David Bowie
Which young girl helped drive the English from French soil in the 15th century?,Joan of Arc
"What U.S. President coined the phrase “Good to the last drop,” referring to coffee?",Theodore Roosevelt
What is the biggest supermarket chain in the U.S.?,Kroger Co.
On every continent there is a city named what?,Rome
What is NumPy?,"NumPy is a Python library for fast numerical computing, built around powerful n-dimensional arrays. This is covered in the Data Manipulation and Analysis with NumPy module."
What is a NumPy array?,NumPy arrays are a powerful data structure in Python for numerical computations. This is covered in the Data Manipulation and Analysis with NumPy module.
How do I create a NumPy array?,"You create one with np.array(), e.g. np.array([1, 2, 3]). See the Data Manipulation and Analysis with NumPy module for examples."
What is pandas?,pandas is a Python library for working with tabular data using DataFrames and Series. This is covered in the Data Manipulation with pandas module.
What is a pandas DataFrame?,"A DataFrame is a 2-dimensional labeled data structure in pandas, similar to a spreadsheet or SQL table."
How do I read a CSV file in pandas?,Use pd.read_csv('filename.csv') to load a CSV file into a pandas DataFrame.
What is Matplotlib?,"Matplotlib is a Python library for creating static, animated, and interactive visualizations and charts."
What is Seaborn?,Seaborn is a Python visualization library based on Matplotlib that provides a high-level interface for drawing attractive statistical graphics.
How do I make a bar chart in Seaborn?,"Use sns.barplot(x=..., y=..., data=df) to create a bar chart with Seaborn."
What is scikit-learn?,"scikit-learn is a Python library that provides simple, efficient tools for machine learning, including classification, regression, and clustering."
What is a machine learning pipeline?,"A pipeline in scikit-learn chains together preprocessing steps and a model, e.g. make_pipeline(TfidfVectorizer(), MultinomialNB()), so data flows through each step automatically."
What is TF-IDF?,TF-IDF (Term Frequency-Inverse Document Frequency) is a technique that converts text into numerical values reflecting how important a word is to a document relative to a collection of documents.
What does TfidfVectorizer do?,"TfidfVectorizer converts a collection of text documents into a matrix of TF-IDF features, turning words into numbers a model can learn from."
What is tokenization?,"Tokenization is the process of splitting text into individual units called tokens, usually words or subwords, as a first step in NLP preprocessing."
What is nltk.word_tokenize used for?,nltk.word_tokenize() splits a string of text into a list of individual word tokens.
What are stop words?,"Stop words are common words like 'the', 'is', and 'a' that are often removed during text preprocessing because they carry little useful meaning for a model."
What is stemming?,"Stemming reduces a word to its root form by stripping suffixes, e.g. 'running' becomes 'run', though the result isn't always a real word."
What is lemmatization?,"Lemmatization reduces a word to its dictionary base form (lemma) using vocabulary and grammar rules, e.g. 'better' becomes 'good'."
What is NLP?,"NLP (Natural Language Processing) is a field of AI focused on enabling computers to understand, interpret, and generate human language."
What is a Naive Bayes classifier?,Naive Bayes is a probabilistic classification algorithm based on Bayes' theorem that assumes features are independent; it works well for text classification tasks.
What is MultinomialNB?,"MultinomialNB is a Naive Bayes classifier variant suited for classification with discrete features, commonly used for text data represented as word counts or TF-IDF scores."
What is train_test_split?,train_test_split() from scikit-learn randomly splits a dataset into training and testing subsets so you can evaluate a model on unseen data.
What is make_pipeline?,"make_pipeline() from scikit-learn chains preprocessing and modeling steps into a single object, so calling .fit() and .predict() runs every step in order."
What is model.fit used for?,"model.fit(X_train, y_train) trains a machine learning model on the provided training data."
What is model.predict used for?,"model.predict() uses a trained model to generate predictions for new, unseen input data."
What is Dash?,Dash is a Python framework for building interactive web applications and dashboards without needing to write JavaScript.
What is Plotly?,"Plotly is a graphing library used to create interactive charts and visualizations, often used together with Dash."
How do I initialize a Dash app?,You initialize a Dash app with: import dash; app = dash.Dash(__name__).
How do I define a Dash layout?,"You define the layout using app.layout = html.Div([...]) with Dash HTML and core components like html.H1, dcc.Input, and html.Button."
What is a Dash callback?,A callback is a Python function decorated with @app.callback() that automatically runs and updates the app's output whenever a specified input changes.
What does dcc.Textarea do?,dcc.Textarea is a Dash core component that renders a multiline text input box for the user to type into.
What does html.Button do?,html.Button renders a clickable button in a Dash app's layout; its n_clicks property increments each time it's clicked.
How do I run a Dash app?,You run a Dash app by calling app.run(debug=True) inside an if __name__ == '__main__': block.
What is State in a Dash callback?,State lets a callback read a component's current value without triggering the callback itself; only the Input component triggers the callback.
What is joblib used for?,"joblib is used to save and load trained Python objects like machine learning models efficiently, e.g. joblib.dump(model, 'model.joblib')."
What is vectorization in NLP?,"Vectorization is the process of converting text into numerical vectors so machine learning models can process it, e.g. via TF-IDF or word embeddings."
What is X.shape in scikit-learn?,"X.shape returns the dimensions of a matrix, e.g. (48, 112) means 48 samples and 112 features."
What is a corpus in NLP?,"A corpus is a large, structured collection of text used for training or analyzing language models."
What is a bag of words model?,"Bag of words represents text as an unordered collection of word counts, ignoring grammar and word order but keeping multiplicity."
What is overfitting?,"Overfitting happens when a model learns the training data too closely, including its noise, and performs poorly on new, unseen data."
What is accuracy in machine learning?,Accuracy is the proportion of correct predictions a model makes out of all predictions.
What is a feature in machine learning?,A feature is an individual measurable input variable used by a model to make predictions.
What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled input-output pairs to predict outputs for new inputs.
What is classification in machine learning?,Classification is a supervised learning task where a model predicts a discrete category or label for given input data.
What is a DataFrame column?,"A DataFrame column is a pandas Series representing one labeled field of data, e.g. data['Question']."
How do I install a Python package?,"You install a Python package using pip, e.g. pip install pandas."
What is a virtual environment?,A virtual environment is an isolated Python environment that lets you install packages for a specific project without affecting your system Python.
What does random_state do in train_test_split?,random_state sets a seed for the random split so the same train/test split is reproduced every time the code runs.
What is the difference between fit and fit_transform?,"fit() learns parameters from data, while fit_transform() learns the parameters and immediately applies the transformation, returning the transformed data."
What port does a Dash app run on by default?,A Dash app runs on http://127.0.0.1:8050 by default when started with app.run(debug=True).
